anio,flujo,grano,socio_cod,cap_cod,valor_usd
2014,Exportacion,capitulo,,16,49713924.0
2014,Exportacion,capitulo,,17,87997058.0
2014,Exportacion,capitulo,,18,10225950.0
2014,Exportacion,capitulo,,19,104466604.0
2014,Exportacion,capitulo,,21,482911804.0
2014,Exportacion,capitulo,,22,90820085.0
2014,Exportacion,capitulo,,23,51733894.0
2014,Exportacion,capitulo,,24,18816644.0
2014,Exportacion,capitulo,,25,30372725.0
2014,Exportacion,capitulo,,32,68204700.0
2014,Exportacion,capitulo,,26,38085.0
2014,Exportacion,capitulo,,28,13599397.0
2014,Exportacion,capitulo,,29,4304304.0
2014,Exportacion,capitulo,,20,327534861.0
2014,Exportacion,capitulo,,30,231255944.0
2014,Exportacion,capitulo,,31,39895334.0
2014,Exportacion,capitulo,,33,19931421.0
2014,Exportacion,capitulo,,27,3349195.0
2014,Exportacion,capitulo,,43,1477.0
2014,Exportacion,capitulo,,44,72414881.0
2014,Exportacion,capitulo,,34,42866400.0
2014,Exportacion,capitulo,,35,13793155.0
2014,Exportacion,capitulo,,36,11039850.0
2014,Exportacion,capitulo,,39,389614007.0
2014,Exportacion,capitulo,,40,248802021.0
2014,Exportacion,capitulo,,41,19178287.0
2014,Exportacion,capitulo,,42,5377538.0
2014,Exportacion,capitulo,,59,4365588.0
2014,Exportacion,capitulo,,45,977.0
2014,Exportacion,capitulo,,46,6254.0
2014,Exportacion,capitulo,,37,285023.0
2014,Exportacion,capitulo,,38,122175591.0
2014,Exportacion,capitulo,,47,13712035.0
2014,Exportacion,capitulo,,48,91832899.0
2014,Exportacion,capitulo,,51,532.0
2014,Exportacion,capitulo,,52,629345.0
2014,Exportacion,capitulo,,53,159337.0
2014,Exportacion,capitulo,,54,19200102.0
2014,Exportacion,capitulo,,55,2524906.0
2014,Exportacion,capitulo,,56,9992462.0
2014,Exportacion,capitulo,,57,43524.0
2014,Exportacion,capitulo,,58,2957913.0
2014,Exportacion,capitulo,,60,340065.0
2014,Exportacion,capitulo,,61,43544540.0
2014,Exportacion,capitulo,,62,60486479.0
2014,Exportacion,capitulo,,63,3815808.0
2014,Exportacion,capitulo,,64,836550.0
2014,Exportacion,capitulo,,65,211726.0
2014,Exportacion,capitulo,,66,29580.0
2014,Exportacion,capitulo,,67,92371.0
2014,Exportacion,capitulo,,68,14051901.0
2014,Exportacion,capitulo,,70,90456634.0
2014,Exportacion,capitulo,,71,55538950.0
2014,Exportacion,capitulo,,72,137682594.0
2014,Exportacion,capitulo,,73,76081722.0
2014,Exportacion,capitulo,,74,32782947.0
2014,Exportacion,capitulo,,69,12150836.0
2014,Exportacion,capitulo,,75,6682151.0
2014,Exportacion,capitulo,,76,103309786.0
2014,Exportacion,capitulo,,78,11703549.0
2014,Exportacion,capitulo,,79,907698.0
2014,Exportacion,capitulo,,80,41934.0
2014,Exportacion,capitulo,,81,913639.0
2014,Exportacion,capitulo,,82,4695176.0
2014,Exportacion,capitulo,,84,198876745.0
2014,Exportacion,capitulo,,83,28125636.0
2014,Exportacion,capitulo,,86,1752747.0
2014,Exportacion,capitulo,,87,61129607.0
2014,Exportacion,capitulo,,96,116517629.0
2014,Exportacion,capitulo,,85,2421358174.0
2014,Exportacion,capitulo,,89,1669183.0
2014,Exportacion,capitulo,,91,477582.0
2014,Exportacion,capitulo,,92,165647.0
2014,Exportacion,capitulo,,93,1380.0
2014,Exportacion,capitulo,,94,39379858.0
2014,Exportacion,capitulo,,95,24812364.0
2014,Exportacion,capitulo,,88,3648454.0
2014,Exportacion,capitulo,,90,1836958492.0
2014,Exportacion,capitulo,,97,403557.0
2014,Importacion,capitulo,,9,36459190.0
2014,Importacion,capitulo,,7,62307295.0
2014,Importacion,capitulo,,14,512532.0
2014,Importacion,capitulo,,6,15623921.0
2014,Importacion,capitulo,,5,3321645.0
2014,Importacion,capitulo,,4,48042604.0
2014,Importacion,capitulo,,11,50369462.0
2014,Importacion,capitulo,,10,318679642.0
2014,Importacion,capitulo,,12,165363305.0
2014,Importacion,capitulo,,8,89289329.0
2014,Importacion,capitulo,,13,6796294.0
2014,Importacion,capitulo,,15,69028058.0
2014,Importacion,capitulo,,3,72781294.0
2014,Importacion,capitulo,,2,56108810.0
2014,Importacion,capitulo,,1,15486971.0
2014,Importacion,capitulo,,18,33208518.0
2014,Importacion,capitulo,,19,145181580.0
2014,Importacion,capitulo,,20,129704847.0
2014,Importacion,capitulo,,21,223162819.0
2014,Importacion,capitulo,,22,112907321.0
2014,Importacion,capitulo,,23,137680764.0
2014,Importacion,capitulo,,24,19991206.0
2014,Importacion,capitulo,,25,38365883.0
2014,Importacion,capitulo,,16,163851301.0
2014,Importacion,capitulo,,17,42777225.0
2014,Importacion,capitulo,,26,111186.0
2014,Importacion,capitulo,,27,2231920681.0
2014,Importacion,capitulo,,28,101332191.0
2014,Importacion,capitulo,,29,182463993.0
2014,Importacion,capitulo,,30,629955459.0
2014,Importacion,capitulo,,31,187150264.0
2014,Importacion,capitulo,,32,96907351.0
2014,Importacion,capitulo,,33,208471663.0
2014,Importacion,capitulo,,34,121263557.0
2014,Importacion,capitulo,,35,49940167.0
2014,Importacion,capitulo,,36,3171953.0
2014,Importacion,capitulo,,37,10023196.0
2014,Importacion,capitulo,,44,80529491.0
2014,Importacion,capitulo,,38,311428186.0
2014,Importacion,capitulo,,45,141766.0
2014,Importacion,capitulo,,40,219045194.0
2014,Importacion,capitulo,,51,4392188.0
2014,Importacion,capitulo,,41,7181848.0
2014,Importacion,capitulo,,42,40054927.0
2014,Importacion,capitulo,,43,59602.0
2014,Importacion,capitulo,,46,518906.0
2014,Importacion,capitulo,,47,14215042.0
2014,Importacion,capitulo,,49,84581600.0
2014,Importacion,capitulo,,50,24153.0
2014,Importacion,capitulo,,52,23298268.0
2014,Importacion,capitulo,,53,353416.0
2014,Importacion,capitulo,,54,47045677.0
2014,Importacion,capitulo,,55,24354045.0
2014,Importacion,capitulo,,48,607087813.0
2014,Importacion,capitulo,,56,55658479.0
2014,Importacion,capitulo,,57,7593208.0
2014,Importacion,capitulo,,58,14177156.0
2014,Importacion,capitulo,,64,146638273.0
