anio,flujo,cap_cod,capitulo,valor_usd
2010,Importacion,21,Miscellaneous edible preparations,137220776.0
2010,Importacion,29,Organic chemicals,204667661.0
2010,Importacion,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",145337453.0
2010,Importacion,30,Pharmaceutical products,518927669.0
2010,Importacion,31,Fertilizers,152383724.0
2010,Importacion,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",77328992.0
2010,Importacion,35,Albuminoidal substances; modified starches; glues; enzymes,32513422.0
2010,Importacion,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2662630.0
2010,Importacion,37,Photographic or cinematographic goods,12766989.0
2010,Importacion,38,Chemical products n.e.c.,257142486.0
2010,Importacion,39,Plastics and articles thereof,820822339.0
2010,Importacion,40,Rubber and articles thereof,196132013.0
2010,Importacion,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",91476118.0
2010,Importacion,41,Raw hides and skins (other than furskins) and leather,52998232.0
2010,Importacion,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",24471124.0
2010,Importacion,43,Furskins and artificial fur; manufactures thereof,45467.0
2010,Importacion,44,Wood and articles of wood; wood charcoal,49980851.0
2010,Importacion,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,163108.0
2010,Importacion,45,Cork and articles of cork,157867.0
2010,Importacion,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",647679.0
2010,Importacion,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,21764212.0
2010,Importacion,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",520326700.0
2010,Importacion,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",55329536.0
2010,Importacion,50,Silk,161652.0
2010,Importacion,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",3628853.0
2010,Importacion,52,Cotton,52418310.0
2010,Importacion,55,Man-made staple fibres,26904857.0
2010,Importacion,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",54602956.0
2010,Importacion,57,Carpets and other textile floor coverings,5499685.0
2010,Importacion,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",18715689.0
2010,Importacion,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",24544038.0
2010,Importacion,60,Fabrics; knitted or crocheted,10261135.0
2010,Importacion,61,Apparel and clothing accessories; knitted or crocheted,98382209.0
2010,Importacion,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",1380992.0
2010,Importacion,54,Man-made filaments; strip and the like of man-made textile materials,55951091.0
2010,Importacion,62,Apparel and clothing accessories; not knitted or crocheted,123063339.0
2010,Importacion,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",37899101.0
2010,Importacion,64,Footwear; gaiters and the like; parts of such articles,109540768.0
2010,Importacion,65,Headgear and parts thereof,4785904.0
2010,Importacion,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",2762697.0
2010,Importacion,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",41710687.0
2010,Importacion,73,Iron or steel articles,295800851.0
2010,Importacion,69,Ceramic products,55739489.0
2010,Importacion,70,Glass and glassware,46984562.0
2010,Importacion,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",51643417.0
2010,Importacion,72,Iron and steel,417207183.0
2010,Importacion,74,Copper and articles thereof,127115941.0
2010,Importacion,75,Nickel and articles thereof,601223.0
2010,Importacion,76,Aluminium and articles thereof,88954857.0
2010,Importacion,78,Lead and articles thereof,648088.0
2010,Importacion,79,Zinc and articles thereof,16378838.0
2010,Importacion,80,Tin; articles thereof,265774.0
2010,Importacion,81,"Metals; n.e.c., cermets and articles thereof",16600223.0
2010,Importacion,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",58979302.0
2010,Importacion,83,Metal; miscellaneous products of base metal,65787669.0
2010,Importacion,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",1276314178.0
2010,Importacion,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",4487936.0
2010,Importacion,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",714302807.0
2010,Importacion,88,"Aircraft, spacecraft, and parts thereof",11900164.0
2010,Importacion,89,"Ships, boats and floating structures",2796807.0
2010,Importacion,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",352488793.0
2010,Importacion,91,Clocks and watches and parts thereof,8284990.0
2010,Importacion,92,Musical instruments; parts and accessories of such articles,4467949.0
2010,Importacion,93,Arms and ammunition; parts and accessories thereof,3018067.0
2010,Importacion,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",112053713.0
2010,Importacion,95,"Toys, games and sports requisites; parts and accessories thereof",61642340.0
2010,Importacion,96,Miscellaneous manufactured articles,36614913.0
2010,Importacion,97,Works of art; collectors' pieces and antiques,435973.0
2010,Importacion,99,Commodities not specified according to kind,390874692.0
2010,Importacion,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2683310765.0
2011,Exportacion,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1571657320.0
2011,Exportacion,09,"Coffee, tea, mate and spices",382909176.0
2011,Exportacion,10,Cereals,1219205.0
2011,Exportacion,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",21875266.0
2011,Exportacion,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",35190524.0
2011,Exportacion,01,Animals; live,6945164.0
2011,Exportacion,02,Meat and edible meat offal,56997443.0
2011,Exportacion,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",98403227.0
2011,Exportacion,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",91796443.0
2011,Exportacion,05,Animal originated products; not elsewhere specified or included,4118763.0
2011,Exportacion,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",168981946.0
2011,Exportacion,07,Vegetables and certain roots and tubers; edible,129421980.0
2011,Exportacion,13,"Lac; gums, resins and other vegetable saps and extracts",2212461.0
2011,Exportacion,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,193885.0
2011,Exportacion,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",249555730.0
2011,Exportacion,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",48971983.0
2011,Exportacion,17,Sugars and sugar confectionery,82753008.0
2011,Exportacion,18,Cocoa and cocoa preparations,8466727.0
2011,Exportacion,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",85652638.0
2011,Exportacion,21,Miscellaneous edible preparations,381419252.0
2011,Exportacion,22,"Beverages, spirits and vinegar",63820441.0
2011,Exportacion,23,"Food industries, residues and wastes thereof; prepared animal fodder",37272275.0
2011,Exportacion,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",2471650.0
